id,cond,gender,l1_proficiency,l2_proficiency,dv0,dv1,IRI,NFC,CRT,U,D
114,L1,2,6.75,5.25,.89999998,.40000001,4.7142859,3.5999999,3,.49999997,.79999995
115,L1,2,7,3.5,.60000002,.2,4.1428571,3.5999999,0,.40000004,.33333337
116,L1,1,7,5.25,.80000001,.40000001,2.5714285,4.4000001,4,.40000001,.66666669
117,L1,2,7,5.25,.69999999,.30000001,3.8571429,4,4,.39999998,.5
118,L1,1,6.5,4,.30000001,.1,1.4285715,5,5,.20000002,.125
119,L1,1,7,6.5,1,.30000001,3,4.4000001,4,.69999999,1
120,L1,2,7,4,.69999999,.60000002,4.8571429,3.8,4,.099999964,.66666669
121,L1,2,7,6.5,.69999999,.40000001,4,4,3,.29999998,.57142854
122,L1,1,7,4.5,.89999998,.30000001,3.5714285,3.8,2,.59999996,.74999994
123,L2,1,7,6,.60000002,.5,4.5714288,4,4,.10000002,.55555558
124,L2,2,7,6.5,.60000002,.2,3,3.4000001,1,.40000004,.33333337
125,L2,2,7,6,.60000002,.30000001,3.4285715,4.5999999,2,.30000001,.42857146
126,L2,2,7,4.75,.66666669,.40000001,3.2857144,4.4000001,1,.26666668,.54545456
127,L2,1,7,5.5,.80000001,.1,4.2857141,4.4000001,3,.69999999,.33333331
128,L2,1,7,4.5,.5,.2,3.4285715,4,2,.30000001,.2857143
129,L2,2,7,5.75,.5,.30000001,3.7142856,4.1999998,3,.19999999,.375
130,L2,2,7,5,.69999999,.30000001,4,4,4,.39999998,.5
131,L2,1,7,5,.69999999,.40000001,3.7142856,3,1,.29999998,.57142854
132,L2,2,7,5.5,.69999999,.1,3.4285715,3.4000001,1,.59999996,.24999999
133,L2,2,7,3.75,.69999999,.60000002,4.2857141,3.8,0,.099999964,.66666669
134,L2,2,7,6.75,.80000001,.30000001,3.5714285,3.4000001,4,.5,.60000002
135,L2,2,7,5.75,.89999998,.60000002,3.5714285,4.1999998,2,.29999995,.85714281
136,L2,2,7,5.25,.55555558,.40000001,3.8571429,3.4000001,1,.15555558,.47368422
137,L2,2,7,6.5,.80000001,.30000001,3.8571429,4.8000002,1,.5,.60000002
138,L2,2,7,5.25,.80000001,.30000001,4,4.1999998,2,.5,.60000002
139,L2,1,7,4.25,.55555558,.30000001,3,3,4,.25555557,.4029851
140,L2,1,7,6.25,.5,.30000001,4.1428571,2.8,1,.19999999,.375
141,L2,2,7,6,.60000002,.30000001,4.2857141,5,3,.30000001,.42857146
142,L2,2,7,5.25,.69999999,.40000001,4.5714288,4.4000001,4,.29999998,.57142854
143,L2,2,7,5.5,.69999999,.5,4.4285712,2.8,3,.19999999,.625
144,L2,2,7,6,1,.40000001,4.7142859,3,3,.60000002,1.0000001
145,L2,2,7,5.75,1,.69999999,3.8571429,4.1999998,3,.30000001,1
146,L2,2,7,6.75,.5,.40000001,4,3.4000001,2,.099999994,.44444445
